region,year,age65_share,working_share,young_share
World,2020,9.31780291818723,65.1914640656685,25.490733016144276
High income,2020,18.6458329440182,65.0326748481384,16.321492207843406
Low income,2020,3.26641016910504,55.0143616662441,41.71922816465086
European Union,2020,20.7800745026898,64.1394743465441,15.080451150766095
North America,2020,16.7833063920433,65.1134721011009,18.103221506855803
East Asia & Pacific,2020,11.5866648678643,68.8968684966684,19.516466635467296
Sub-Saharan Africa,2020,3.02118167465177,54.9733579995714,42.00546032577683
